Customer_ID,Full_Name,Gender,Birth_Date,City,Job_Title,Monthly_Income,Segment,Join_Date
1,Nour Mostafa,Female,1974-05-03,Assiut,Business Owner,36619,Retail,2024-05-09
2,Mostafa Youssef,Male,1983-03-12,Tanta,Accountant,21865,Retail,2023-03-06
3,Dina Khaled,Female,1975-03-15,Cairo,Doctor,47691,Retail,2017-07-27
4,Youssef Ibrahim,Female,1962-06-13,Giza,Retired,16773,Retail,2022-05-08
5,Mostafa Mahmoud,Male,1991-07-21,Assiut,Branch Officer,19681,Retail,2021-04-18
6,Fatma Nour,Female,1994-05-24,Giza,IT Specialist,29038,Retail,2016-07-20
7,Mahmoud Hassan,Female,1992-08-03,Tanta,Engineer,18592,Retail,2015-09-18
8,Mostafa Dina,Male,1984-07-20,Assiut,Branch Officer,32338,Retail,2023-01-31
9,Mona Omar,Female,1967-11-18,Mansoura,Consultant,72006,Retail,2016-10-09
10,Hassan Aya,Male,1989-01-24,Assiut,Accountant,31403,Retail,2018-05-07
11,Sara Hassan,Male,2000-09-20,Tanta,Sales Representative,8504,Retail,2018-08-20
12,Khaled Mohamed,Male,1991-01-04,Tanta,Accountant,25076,Retail,2015-11-19
13,Dina Mahmoud,Male,1965-12-16,Assiut,Retired,10267,Retail,2020-04-30
14,Yasmin Ibrahim,Male,1995-03-09,Assiut,IT Specialist,34876,Retail,2018-06-30
15,Aya Heba,Male,1985-11-21,Giza,Accountant,29355,Retail,2017-07-09
16,Fatma Khaled,Male,1964-06-01,Cairo,Retired,15540,Retail,2022-12-09
17,Mona Youssef,Male,2000-01-08,Alexandria,Junior Accountant,6514,Retail,2022-07-03
18,Fatma Salma,Male,1991-04-18,Mansoura,Teacher,33711,Retail,2024-01-21
19,Sara Yasmin,Female,1986-04-04,Mansoura,Engineer,29124,Retail,2023-03-06
20,Mohamed Nour,Female,1963-11-21,Cairo,Retired,11224,Retail,2017-10-15
21,Yasmin Hassan,Female,1972-04-18,Mansoura,Doctor,39186,Retail,2017-10-20
22,Mohamed Dina,Male,1964-08-26,Cairo,Retired,11208,Retail,2023-06-14
23,Ibrahim Nour,Male,1975-03-14,Giza,Doctor,61546,Retail,2019-04-02
24,Amr Yasmin,Female,1960-07-09,Giza,Retired,22909,Retail,2017-02-16
25,Mona Mohamed,Male,1978-04-02,Tanta,Senior Manager,79019,Retail,2020-05-06
26,Youssef Hassan,Male,1992-09-06,Tanta,Engineer,31640,Retail,2015-10-06
27,Laila Mohamed,Male,1975-07-04,Mansoura,Business Owner,67940,Retail,2022-05-16
28,Ibrahim Mona,Male,1997-10-17,Alexandria,Engineer,10272,Retail,2019-06-10
29,Mona Youssef,Male,1968-11-21,Mansoura,Consultant,59964,Retail,2021-12-19
